# time,  FLS,  FRS,  RLS,  RRS,  FLA,  FRA,  RLA,  RRA,  FLS_cmd,  FRS_cmd,  RLS_cmd,  RRS_cmd,  FLA_cmd,  FRA_cmd,  RLA_cmd,  RRA_cmd, 
1708525249542474027 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249552255233 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249562262260 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249572266928 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249582260129 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249592266666 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249602259857 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249612282394 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249622240737 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249632273033 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249642258045 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249652277184 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249662253197 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249672277386 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249682251542 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249692353795 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249702285331 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249712295479 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249722257520 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249732276982 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249742249070 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249752276391 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249762272216 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249772292579 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249782291168 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249792289380 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249802249833 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249812277859 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249822260093 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249832275187 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249842254543 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249852275571 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249862248869 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249872271089 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249882268824 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249892271259 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249902256771 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249912281326 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249922268658 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249932273567 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249942241484 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249952270516 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249962256621 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249972277859 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249982246079 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525249992276711 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250002261418 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250012271442 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250022247669 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250032271009 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250042247930 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250052277498 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250062274613 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250072271273 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250082242227 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250092275744 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250102240491 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250112265296 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250122252538 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250132276014 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250142254053 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250152265195 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250162265140 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250172265092 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250182258944 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250192264736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250202277137 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250212276342 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250222271171 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250232264274 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250242277843 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250252274576 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250262255373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250272265283 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250282277952 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250292264662 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250302236389 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250312263971 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250322253478 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250332274298 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250342252093 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250352264159 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250362252004 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250372271627 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250382251534 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250392263766 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250402254813 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250412240728 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250422278974 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250432266572 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250442251992 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250452267320 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250462294971 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250472276248 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250482255415 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250492277998 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250502236964 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525250512277784 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
